Codigo DIVIPOLA,Longitud,Latitud,Ciudad de ubicación,Codigo Departamento
5237,-75.39272406,6.484469957,Donmatias,5237
5197,-75.18548101,6.058306335,Cocorna,5197
5038,-75.33511597,6.885174591,Angostura,5038
19300,-76.39218874,3.134153295,Guachené,19300
8296,-74.8669381,10.919641,Galapa,8296
63401,-75.78646018,4.453650416,La Tebaida,63401
76306,-76.26806789,3.724181147,Ginebra,76306
15696,-73.60270717,5.713269421,Santa Sofia,15696
52399,-75.3608659,5.973868218,La Unión,52399
52233,-77.57814673,1.646845971,Cumbitara,52233
68207,-75.2576027,6.394347095,Concepción,68207
76113,-76.15680774,4.208331592,Bugalagrande,76113
25200,-73.97849669,5.061841798,Cogua,25200
23162,-75.79621652,8.888611812,Cerete,23162
23807,-76.05969659,8.170378684,Tierralta,23807
5665,-76.38057789,8.276886664,San Pedro de Urabá,5665
13620,-75.06553417,10.39285577,San Cristóbal,13620
5756,-75.30939515,5.714811641,Sonsón,5756
52838,-77.61688638,1.085193359,Tuquerres,52838
5030,-75.70194607,6.038808575,Amaga,5030
41518,-75.77299232,2.449548949,Paicol,41518
41006,-75.88853156,1.805263228,Acevedo,41006
41359,-76.21763745,1.92946706,Isnos,41359
41298,-75.62769374,2.196994421,Garzón,41298
15047,-72.88398481,5.518603543,Aquitania,15047
13140,-74.91362928,10.25196336,Calamar,13140
25320,-74.60295627,5.071870533,Guaduas,25320
19845,-76.45787266,3.177577926,Villa rica,19845
76020,-75.77981387,4.674989542,Alcalá,76020
8436,-74.95703499,10.44896238,Manatí,8436
52083,-72.91161957,5.989277861,Belén,52083
85250,-71.89092396,5.88003657,Paz de Ariporo,85250
76233,-76.68887101,3.657308485,Dagua,76233
44035,-75.87837054,1.328522088,Albania,44035
41020,-75.31537288,2.522447597,Algeciras,41020
17616,-75.76721954,5.164508957,Risaralda,17616
15131,-75.63361872,6.091296966,Caldas,15131
23090,-76.24139652,8.786944523,Canalete,23090
52381,-77.40643084,1.299192232,La Florida,52381
52036,-77.51451329,1.263299977,Ancuya,52036
76622,-76.15228663,4.4135962,Roldanillo,76622
54003,-73.2217344,8.081784141,Abrego,54003
17442,-75.60024162,5.47400482,Marmato,17442
20400,-73.33422791,9.5638873,La Jagua de Ibirico,20400
44098,-72.88739268,10.89847259,Distracción,44098
25178,-74.04487563,4.442671017,Chipaque,25178
13838,-75.44250247,10.27440205,Turbana,13838
19548,-76.52850592,2.641987578,Piendamo,19548
5148,-75.33536246,6.084551516,El Carmen de Viboral,5148
25845,-74.02518226,4.402450393,Une,25845
25279,-73.89252259,4.485474345,Fomeque,25279
23466,-75.41681813,7.973777244,Montelíbano,23466
68872,-75.27475439,10.44449833,Villanueva,68872
25295,-73.87346922,4.990918172,Gachancipá,25295
86573,-74.78247103,-0.191872849,Puerto Leguizamo,86573
91540,-70.36451835,-3.780447632,Puerto Nariño,91540
15469,-73.57337039,5.876334811,Moniquirá,15469
54518,-72.64768144,7.37285018,Pamplona,54518
17495,-74.88954408,5.574795393,Norcasia,17495
54405,-72.50571256,7.833256289,Los Patios,54405
52427,-78.18106078,1.765313671,Magüi,52427
73624,-75.2408683,4.238932685,Rovira,73624
17614,-75.70206971,5.423680913,Riosucio,17614
